Amazon S3 	["Storage","Cloud"]	/amazon-s3/1.0.0	[/store, /retrieve-data, /search]	Since 2006 Amazon Web Services has been offering web services commonly known as cloud computing. AWS Provides a reliable, low cost infrastructure platform that powers hundreds of thousands of businesses. Amazon S3 API, the Simple Storage Service provides a simple web services interface used to store objects using the Amazon online storage infrastructure. Users can then download the data or use the data with other AWS services, such as Amazon Elastic Cloud Computer (EC2). Using this web service, developers can build applications that make use of Internet storage. The API uses Buckets, Objects, Keys and Operations. An object has four parts: value, key, metadata, and an access control policy. Objects are stored in buckets. The API is REST based. Responses are formatted in JSON. 
Bing	["search","Machine Learning"]	/bing/1.0.0	[/web-search, /search-history, /bookmarks]	The Bing API provides an experience similar to Bing.com/search by returning search results that Bing determines are relevant to a user's query. The results include Web pages and may also include images, videos, and more. Free trial keys are available here: https://azure.microsoft.com/en-us/try/cognitive-services/?api=bing-web-search-api. 
Booking	["Travel"]	/booking/1.0.0	[/locations, /currencies, /properties]	Booking API helps to query rooms, price, facilities, policities, etc information from many hotels around the world as on official site.
Breaking News	["Finance"]	/breaking-news/1.0.0	[/getTopNews, /news, /getCompanyDetails]	MyAllies News delivers news from across the globe and information on the latest breaking business and financial news. Breaking news from around the globe as and when it happens using our complex web crawling technologies, information and big announcements that could inform your strategy.
Currency Converter	["Finance","Currency"]	/currency-converter/1.0.0	[/rates, /available-currencies, /convert]	Provides exchange rates based on the official banks data. It returns the list of available currencies. 
Domainr	["Business"]	/domainr/1.0.0	[/search, /status, /register]	Instant domain search. Responds with search suggestions related to the query. Check domain availability. Responds with an HTTP redirect to a supporting registrar.
Fiz places	["Travel"]	/fizplaces/1.0.0	[/lists, /places]	High quality, curated content on top places around the world including: top hotspots, landmarks, restaurants, POIs, museums, parks etc etc. Places are scored using Fiz unique algorithm, to determine 'relevance' and 'popularity'. The Lite endpoint may be used free to a daily limit. Access to the full curated place detail and presentation layer 'widgets/placelets' can be added on at any time. This API can be used to enhance any business, especially travel, leisure or hotel websites, who wish to enhance their own venue or product, by providing the best places to visit nearby. Experiential, local content is not just a nice to have, but an essential tool to keep engagement and improve conversion.
Flickr	["Photos","Video"]	/flickr/1.0.0	[/service, /upload, /retrieve]	The Flickr API can be used to retrieve photos from the Flickr photo sharing service using a variety of feeds - public photos and videos, favorites, friends, group pools, discussions, and more. The API can also be used to upload photos and video.The Flickr API supports many protocols including REST, SOAP, XML-RPC. Responses can be formatted in XML, XML-RPC, JSON and PHP. Documentation is included for 14 API Kit libraries.
Foursquare	["Photos","Social","Search","Mapping","Mobile"]	/foursquare/1.0.0	[/get-information, /search, /locate]	The Foursquare Places API provides location based experiences with diverse information about venues, users, photos, and check-ins. The API supports real time access to places, Snap-to-Place that assigns users to specific locations, and Geo-tag. Additionally, Foursquare allows developers to build audience segments for analysis and measurement. JSON is the preferred response format. 
GooglePlaces	["Mapping"]	/GooglePlacesdimasV1/1.0.0	[/addPlace, /getImageURL, /getNearbyPlaces, /getPlaceDetails, /searchPlacesByText]	Connect to the Google Places API to add location awareness for more contextual results. Test an API call in your browser and export the code snippet.
Kajak	["Travel","Transportation"]	/kajak/1.0.0	[/flights, /hotels, /locations]	API to query realtime Flights prices, Hotels booking and Cars hiring.Create new session for searching flights tickets of all airlines around the world, searching all hotels prices around the world. 
PayPal	["Payments"]	/paypal/1.0.0	[/createPayment, /executePayment, /sendInvoice, /updatePayment, /getCreditCard]	Accept PayPal and credit card payments online or on mobile. Use the payment resource for direct credit card payments, stored credit card payments, or PayPal account payments.
PizzaShackAPI	["pizza","check"]	/pizzashack/1.0.0	[/order, /menu, /order/{orderId}]	This is a RESTFul API for Pizza Shack online pizza delivery store.

Shopping.com	["eCommerce"]	/shopping.com/1.0.0	[/publisher, /search, /cart]	With the Shopping.com API you can integrate relevant product content with the deepest product catalog available online. Add millions of unique products and merchant offers to your site. Shopping.com, an eBay company, is the world online comparison shopping service leader. Its global websites (Shopping.com, DealTime, and DoorOne) carry one of the world largest product catalogs and offers from more than 6000 merchants. The Shopping.com XML API uses a RESTful interface and can be used to feature dynamic Shopping.com content on your web pages. It offers capabilities such as keyword search, refining and sorting search results, finding product reviews, reading product specs, comparing products and prices from different merchants and controlling the number of results and navigating between pages.
