"CREATED_BY","NAME","DESCRIPTION"
"admin","DefaultApplication",
"admin","AAAAA",""
"admin","TestApplication",""
"Imalsha","DefaultApplication",
"JaneFox","DefaultApplication",
"JaneFox","Test1",""
"admin","Test2",""
"ShawnBrown","DefaultApplication",
"ShawnBrown","sampleapp1","sample app description"
"admin","TestApp1",""
"LincolnHolmes","DefaultApplication",
"AnneFranklin","DefaultApplication",
"BettyCooper","Hotels Booking","This app allows you to choose your hotels and make early reservations. Transportation is provided whenever you need, with taxi rides or by renting cars."
"BettyCooper","Grocery Shopping","You can use this app to buy you groceries. Search the needed items and add to the cart for purchase. The items will be delivered to your doorstep"
"JessicaLang","Taxi Ride","You can get taxi rides from any place you like to any destination. Just choose the locations on the map and a taxi would come to you. Pay online through the app or directly pay cash to the driver."
